age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
30;admin.;single;university.degree;no;yes;no;cellular;may;mon;487;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
39;services;married;high.school;no;no;no;telephone;may;mon;346;4;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
25;blue-collar;single;basic.9y;no;yes;no;cellular;jun;wed;227;1;999;1;failure;-1.8;92.893;-46.2;1.244;5099.1;no
38;technician;married;professional.course;no;yes;yes;cellular;aug;thu;17;3;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1;no
47;admin.;married;university.degree;no;yes;no;cellular;nov;fri;58;1;999;0;nonexistent;-0.1;93.2;-42;4.191;5195.8;no
21;student;single;high.school;no;no;no;cellular;oct;tue;180;1;999;2;failure;-1.1;94.601;-49.5;0.959;4963.6;yes
55;retired;divorced;basic.4y;no;yes;no;telephone;jul;thu;272;2;999;0;nonexistent;1.4;93.918;-42.7;4.968;5228.1;no
29;management;single;university.degree;no;no;yes;cellular;apr;fri;120;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1;no
41;blue-collar;married;basic.6y;unknown;yes;no;telephone;may;mon;290;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
62;retired;married;university.degree;no;yes;no;cellular;sep;tue;412;1;6;2;success;-1.1;94.199;-37.5;0.879;4963.6;yes
35;technician;single;professional.course;no;no;no;cellular;jun;thu;56;1;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;no
44;admin.;married;high.school;no;yes;no;cellular;aug;wed;110;2;999;0;nonexistent;1.4;93.444;-36.1;4.964;5228.1;no
52;entrepreneur;married;university.degree;no;yes;yes;telephone;may;fri;142;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
28;blue-collar;single;high.school;no;yes;no;cellular;jul;wed;675;3;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1;no
32;admin.;single;university.degree;no;no;no;cellular;may;tue;951;1;999;0;nonexistent;-1.8;92.893;-46.2;1.291;5099.1;yes
49;blue-collar;married;basic.4y;unknown;no;no;telephone;jun;fri;203;2;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no
34;self-employed;single;university.degree;no;yes;no;cellular;nov;thu;102;1;999;0;nonexistent;-0.1;93.2;-42;4.076;5195.8;no
58;retired;married;basic.4y;no;yes;no;cellular;dec;mon;360;1;12;3;success;-3;89.408;-39.6;0.715;5023.5;yes
43;blue-collar;divorced;basic.9y;no;no;no;cellular;may;wed;18;2;999;1;failure;-1.8;92.893;-46.2;1.281;5099.1;no
36;management;married;university.degree;no;yes;no;cellular;aug;mon;88;1;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;no
50;housemaid;divorced;basic.4y;no;yes;yes;telephone;may;thu;192;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
26;student;single;high.school;no;yes;no;cellular;sep;mon;300;1;999;0;nonexistent;-1.1;94.199;-37.5;0.882;4963.6;no
31;technician;single;university.degree;no;yes;no;cellular;mar;fri;150;1;999;0;nonexistent;-1.8;93.369;-34.8;0.649;5008.7;yes
45;services;married;high.school;no;no;no;telephone;may;wed;215;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
53;admin.;married;university.degree;no;yes;no;cellular;nov;tue;95;1;999;0;nonexistent;-0.1;93.2;-42;4.12;5195.8;no
37;technician;married;professional.course;no;no;no;telephone;jun;thu;21;6;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;no
27;services;single;high.school;no;yes;no;cellular;jul;tue;48;1;999;0;nonexistent;1.4;93.918;-42.7;4.961;5228.1;no
48;unemployed;married;basic.9y;no;yes;no;cellular;aug;fri;320;2;999;0;nonexistent;1.4;93.444;-36.1;4.966;5228.1;no
56;retired;married;basic.4y;no;no;no;telephone;may;thu;1025;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
33;admin.;single;university.degree;no;yes;no;cellular;jun;mon;15;10;999;0;nonexistent;1.4;94.465;-41.8;4.96;5228.1;no
