complaint_id,date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company,company_response,timely,consumer_disputed,state,zip_code
3211001,2026-01-15,Credit card,General-purpose credit card,Billing disputes,Incorrect billing charge,"I noticed an unauthorized charge of $120.00 on my credit card statement from an unknown vendor. I contacted customer service immediately, but they refused to remove it or investigate properly. This is completely unacceptable and fraudulent.",JPMorgan Chase & Co.,Closed with explanation,Yes,No,NY,10001
3211002,2026-01-18,Mortgage,Conventional home mortgage,Trouble during payment process,Late fee dispute,"I made my monthly mortgage payment three days before the due date through their online portal. However, they processed it late and charged me a $50 late fee. I have proof of submission but they won't refund it.",Wells Fargo & Company,Closed with monetary relief,Yes,No,CA,90210
3211003,2026-02-05,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was paid,"A third-party debt collector has been calling my phone multiple times a day demanding payment for a debt that I paid off and settled years ago. They refuse to provide validation of the debt despite my repeated requests.",Portfolio Recovery Associates,Closed with explanation,Yes,No,TX,75001
3211004,2026-02-12,Credit reporting,Credit reporting,Incorrect information on your report,Account status incorrect,"My credit report shows that I have an active delinquent account with a major retailer, which is incorrect as this account was closed in good standing five years ago. I've disputed this multiple times with no success.",Equifax Information Services,Closed with non-monetary relief,Yes,No,FL,33101
3211005,2026-02-20,Checking or savings account,Checking account,Managing an account,Fee problem,"My bank charged me an overdraft fee even though my account balance never went below zero. They claim a pending transaction caused it, but my actual available balance remained positive at all times. They won't refund the fee.",Bank of America,Closed with explanation,Yes,No,IL,60601
3211006,2026-03-01,Student loan,Federal student loan,Dealing with your lender or servicer,Repayment plan options,"I applied for an income-driven repayment plan months ago. My servicer has repeatedly delayed processing my application, causing me to miss deadlines and potentially forcing me into default. Their customer support is unhelpful.",Nelnet Inc.,Closed with explanation,Yes,No,OH,43215
3211007,2026-03-10,Vehicle loan or lease,Loan,Managing the loan or lease,Payment processing issues,"I have been trying to make a principal-only payment on my auto loan for weeks, but the loan servicer's online portal does not allow it, and their phone agents insist all extra funds must go to next month's payment interest.",Capital One Financial,Closed with explanation,Yes,No,TX,78701
3211008,2026-03-15,Money transfer,Domestic transfer,Money was not available when promised,Delayed transfer,"I sent money to my sister using an instant transfer service, but the funds were held for over a week with no explanation. Both of our accounts are fully verified, and their support team kept giving us generic answers.",PayPal Holdings Inc.,Closed with monetary relief,Yes,No,NY,11201
3211009,2026-03-22,Prepaid card,Mobile wallet,Unexpected fees,Hidden maintenance fee,"My prepaid card issuer deducted a $15 'inactivity fee' from my account balance, despite the fact that I had made several purchases with the card in the last thirty days. Their terms did not clearly list this fee.",Green Dot Corporation,Closed with monetary relief,Yes,No,GA,30303
3211010,2026-04-02,Mortgage,FHA mortgage,Struggling to pay mortgage,Loan modification process,"I requested a loan modification due to temporary financial hardship. The bank lost my documentation three separate times, forcing me to resubmit personal financial data while they threatened foreclosure proceedings.",Citigroup Inc.,Closed with explanation,Yes,No,AZ,85001
3211011,2026-04-08,Credit card,Store credit card,Fees or interest charges,Incorrect interest rate,"My store credit card agreement specified a 0% introductory APR on purchases for the first six months. However, I was charged interest on my very first statement. Customer service admitted the error but hasn't fixed it.",Synchrony Financial,Closed with monetary relief,Yes,No,NC,28202
3211012,2026-04-14,Debt collection,Medical debt,Written notification about debt,Did not receive notice,"I was contacted by a debt collector regarding a medical bill I had never received from the hospital. They reported it to credit bureaus before even mailing me a validation letter, severely damaging my credit score.",Encore Capital Group,Closed with non-monetary relief,Yes,No,PA,19103
